Name,Description,Recommended Setting,Complexity,SMB Justification (if not using recommended)
CISv4 - WIN - L1 - Minimum PIN Length,"Minimum PIN length configures the minimum number of characters required for the PIN. The lowest number you can configure for this policy setting is 4. The largest number you can configure must be less than the number configured in the Maximum PIN length policy setting or the number 127, whichever is the lowest. The recommended state for this setting is: 6 more character(s).",6 more character(s),Simple,"'minimum pin length' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Minimum Password Age,"This security setting determines the period of time (in days) that a password must be used before the user can change it. You can set a value between 1 and 998 days, or you can allow changes immediately by setting the number of days to 0. The recommended state for this setting is: 1 or more day(s)).",1 or more day(s)),Simple,"'minimum password age' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Modify Firmware Environment,The recommended state for this setting is: *S-1-5-32-544 (Administrators),*S-1-5-32-544 (Administrators),Simple,"'modify firmware environment' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Modify Object Label,The recommended state for this setting is: No One.,No One,Simple,"'modify object label' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Notify Malicious,"This policy setting determines whether Enhanced Phishing Protection in Microsoft Defender SmartScreen warns users if they type their work or school password into one of the following malicious scenarios: into a reported phishing site, into a Microsoft login URL with an invalid certificate, or into an application connecting to either a reported phishing site or a Microsoft login URL with an invalid certificate. The recommended state for this setting is: Enabled.",Enabled,Simple,"'notify malicious' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Notify Password Reuse,This policy setting determines whether Enhanced Phishing Protection in Microsoft Defender SmartScreen warns users if they reuse their work or school password. The recommended state for this setting is: Enabled.,Enabled,Simple,"'notify password reuse' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Notify Unsafe App,"This policy setting determines whether Enhanced Phishing Protection in Microsoft Defender SmartScreen warns users if they type their work or school passwords in Notepad, WordPad, or M365 Office apps like OneNote, Word, Excel, etc. The recommended state for this setting is: Enabled.",Enabled,Simple,"'notify unsafe app' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Notify antivirus programs when opening  attachments (User),"This policy setting manages the behavior for notifying registered antivirus programs. If multiple programs are registered, they will all be notified. The recommended state for this setting is: Enabled.",Enabled,Simple,"'notify antivirus programs when opening  attachments (user)' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Object Access Audit Detailed File Share,This subcategory allows you to audit attempts to access files and folders on a shared folder. Events for this subcategory include: • 5145: network share object was checked to see whether client can be granted desired access. The recommended state for this setting is to include: Failure.,to include: Failure,Moderate,Audit policies are low-risk to enable and strongly recommended for incident response. Only skip if event log storage or SIEM capacity is a documented constraint.
CISv4 - WIN - L1 - Object Access Audit Other Object Access  Events,"This policy setting allows you to audit events generated by the management of task scheduler jobs or COM+ objects. For scheduler jobs, the following are audited: • Job created. • Job deleted. • Job enabled. • Job disabled. • Job updated. For COM+ objects, the following are audited: • Catalog object added. • Catalog object updated. • Catalog object deleted. The recommended state for this setting is: Success and Failure.",Success and Failure,Moderate,"Full audit logging (Success and Failure) can generate high event volume on busy systems, impacting SIEM ingestion costs. For SMBs without a SIEM, Failure-only auditing is a pragmatic compromise."
CISv4 - WIN - L1 - Object Access Audit Removable Storage,"This policy setting allows you to audit user attempts to access file system objects on a removable storage device. A security audit event is generated only for all objects for all types of access requested. If you configure this policy setting, an audit event is generated each time an account accesses a file system object on a removable storage. Success audits record successful attempts and Failure audits record unsuccessful attempts. If you do not configure this policy setting, no audit event is generated when an account accesses a file system object on a removable storage. The recommended state for this setting is: Success and Failure.",Success and Failure,Moderate,"Full audit logging (Success and Failure) can generate high event volume on busy systems, impacting SIEM ingestion costs. For SMBs without a SIEM, Failure-only auditing is a pragmatic compromise."
CISv4 - WIN - L1 - Oobe Enable Rtp And Sig Update,"This policy setting configures whether Real-time Protection and Security Intelligence Updates are enabled during the Out of Box experience (OOBE). The recommended state for this setting is: If you enable this setting, realtime protection and Security Intelligence Updates are enabled during OOBE..","If you enable this setting, realtime protection and Security Intelligence Updates are enabled during OOBE",Simple,"'oobe enable rtp and sig update' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - 'PUA Protection,"This policy setting controls detection and action for Potentially Unwanted Applications (PUA), which are sneaky unwanted application bundlers or their bundled applications, that can deliver adware or malware. The recommended state for this setting is: PUA Protection on.",PUA Protection on,Simple,"''pua protection' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Password Age Days,"This policy setting configures the Windows LAPS Password Settings policy for password age. Because attackers can crack passwords, the more frequently the password is changed the less opportunity an attacker has to use a cracked password. The recommended state for this setting is: Configured: 30 or fewer.",Configured: 30 or fewer,Simple,"'password age days' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Password Complexity,The recommended state for this setting is: Large letters + small letters + numbers + special characters,Large letters + small letters + numbers + special characters,Simple,"'password complexity' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Password Length,The recommended state for this setting is: Configured: 15 or more,Configured: 15 or more,Simple,"'password length' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Pause Updates,"This policy removes access to ""Pause updates"" feature. The recommended state for this setting is: Block",Block,Simple,"'pause updates' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Point and Print Restrictions: When installing  drivers for a new connection,This policy setting controls whether computers will show a warning and a security elevation prompt when users create a new printer connection using Point and Print. The recommended state for this setting is: Enabled: Show warning and elevation prompt,Enabled: Show warning and elevation prompt,Simple,"'point and print restrictions: when installing  drivers for a new connection' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Point and Print Restrictions: When updating  drivers for an existing connection,This policy setting controls whether computers will show a warning and a security elevation prompt when users are updating drivers for an existing connection using Point and Print. The recommended state for this setting is: Enabled: Show warning and elevation prompt,Enabled: Show warning and elevation prompt,Simple,"'point and print restrictions: when updating  drivers for an existing connection' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Policy Change Audit MPSSVC Rule Level  Policy Change,This subcategory determines whether the operating system generates audit events when changes are made to policy rules for the Microsoft Protection Service (MPSSVC.exe). The recommended state for this setting is: Success and Failure,Success and Failure,Moderate,"Full audit logging (Success and Failure) can generate high event volume on busy systems, impacting SIEM ingestion costs. For SMBs without a SIEM, Failure-only auditing is a pragmatic compromise."
CISv4 - WIN - L1 - Policy Change Audit Other Policy Change  Events,"This subcategory contains events about EFS Data Recovery Agent policy changes, changes in Windows Filtering Platform filter, status on Security policy settings updates for local Group Policy settings, Central Access Policy changes, and detailed troubleshooting events for Cryptographic Next Generation (CNG) operations. The recommended state for this setting is to include: Failure.",to include: Failure,Moderate,Audit policies are low-risk to enable and strongly recommended for incident response. Only skip if event log storage or SIEM capacity is a documented constraint.
CISv4 - WIN - L1 - Post Authentication Reset Delay,"This policy settings configures post-authentication actions which will be executed after detecting an authentication by the Windows LAPS managed account. The Grace period refers to the amount of time (hours) to wait after an authentication before executing the specified post-authentication actions. The recommended state for this setting is: Configured: 8 or fewer hours, but not 0","Configured: 8 or fewer hours, but not 0",Simple,"'post authentication reset delay' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Post-authentication actions,The recommended state for this setting is: Reset the password and logoff the managed account or higher.,Reset the password and logoff the managed account or higher,Simple,"'post-authentication actions' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Prevent device metadata retrieval from the  Internet,This policy setting allows you to prevent Windows from retrieving device metadata from the Internet. The recommended state for this setting is: Enabled.,Enabled,Simple,"'prevent device metadata retrieval from the  internet' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Prevent downloading of enclosures,This policy setting prevents the user from having enclosures (file attachments) downloaded from an RSS feed to the user's computer. The recommended state for this setting is: Enabled.,Enabled,Simple,"'prevent downloading of enclosures' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Prevent enabling lock screen camera,Disables the lock screen camera toggle switch in PC Settings and prevents a camera from being invoked on the lock screen. The recommended state for this setting is: Enabled.,Enabled,Simple,"'prevent enabling lock screen camera' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Prevent enabling lock screen slide show,Disables the lock screen slide show settings in PC Settings and prevents a slide show from playing on the lock screen. The recommended state for this setting is: Enabled.,Enabled,Simple,"'prevent enabling lock screen slide show' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Prevent the use of security questions for  local accounts,"This policy setting controls whether security questions can be used to reset local account passwords. The security question feature does not apply to domain accounts, only local accounts on the workstation. The recommended state for this setting is: Enabled.",Enabled,Simple,"'prevent the use of security questions for  local accounts' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Prevent users from sharing files within  their profile. (User),"This policy setting determines whether users can share files within their profile. By default, users are allowed to share files within their profile to other users on their network after an administrator opts in the computer. An administrator can opt in the computer by using the sharing wizard to share a file within their profile. The recommended state for this setting is: Enabled.",Enabled,Simple,"'prevent users from sharing files within  their profile. (user)' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Privilege Use Audit Sensitive Privilege Use,This subcategory reports when a user account or service uses a sensitive privilege. The recommended state for this setting is: Success and Failure,Success and Failure,Moderate,"Full audit logging (Success and Failure) can generate high event volume on busy systems, impacting SIEM ingestion costs. For SMBs without a SIEM, Failure-only auditing is a pragmatic compromise."
CISv4 - WIN - L1 - Profile Single Process,The recommended state for this setting is: *S-1-5-32-544 (Administrators).,*S-1-5-32-544 (Administrators),Simple,"'profile single process' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Profile System Performance,"The recommended state for this setting is: *S-1-5-32-544, *S-1-5-80 (Administrators, NT SERVICE\WdiServiceHost).","*S-1-5-32-544, *S-1-5-80 (Administrators, NT SERVICE\WdiServiceHost)",Simple,"'profile system performance' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Prohibit connection to non-domain networks  when connected to domain authenticated network,This policy setting prevents computers from connecting to both a domain based network and a non-domain based network at the same time. The recommended state for this setting is: Enabled.,Enabled,Simple,"'prohibit connection to non-domain networks  when connected to domain authenticated network' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Prohibit installation and configuration of  Network Bridge on your DNS domain network,You can use this procedure to control a user's ability to install and configure a Network Bridge. The recommended state for this setting is: Enabled.,Enabled,Simple,"'prohibit installation and configuration of  network bridge on your dns domain network' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Prohibit use of Internet Connection Sharing  on your DNS domain network,"Although this ""legacy"" setting traditionally applied to the use of Internet Connection Sharing (ICS) in Windows 2000, Windows XP & Server 2003, this setting now freshly applies to the Mobile Hotspot feature in Windows 10 & Server 2016. The recommended state for this setting is: Enabled.",Enabled,Simple,"'prohibit use of internet connection sharing  on your dns domain network' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Quick Scan Include Exclusions,"This policy setting manages whether or not Microsoft Defender Antivirus scans excluded files and directories when running a Quick Scan. The recommended state for this setting is: If you set this setting to 1, all files and directories that are excluded from real-time protection using contextual exclusions are scanned during a quick scan.","If you set this setting to 1, all files and directories that are excluded from real-time protection using contextual exclusions are scanned during a quick scan",Simple,"'quick scan include exclusions' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Refresh cadence,This policy setting determines how often MDM policies are refreshed on the system. The recommended state for this setting is: 90 (or less).,90 (or less),Simple,"'refresh cadence' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Remote Encryption Protection Configured  State,This policy setting configures the Brute-Force Protection feature in Microsoft Defender Antivirus. Brute-Force Protection can detect and block attempts to forcibly initiate sign ins and sessions. The recommended state for this setting is: Audit: Generate EDR detections without blocking. Configuring this setting to Block: Prevent suspicious and malicious behaviors also conforms to the benchmark.,Audit: Generate EDR detections without blocking,Simple,"'remote encryption protection configured  state' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Remote Shutdown,The recommended state for this setting is: *S-1-5-32-544 (Administrators).,*S-1-5-32-544 (Administrators),Simple,"'remote shutdown' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - 'Remote host allows delegation of non exportable credentials,"Remote host allows delegation of non-exportable credentials. When using credential delegation, devices provide an exportable version of credentials to the remote host. This exposes users to the risk of credential theft from attackers on the remote host. The Restricted Admin Mode and Windows Defender Remote Credential Guard features are two options to help protect against this risk. The recommended state for this setting is: Enabled",Enabled,Simple,"''remote host allows delegation of non exportable credentials' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Replace Process Level Token,"The recommended state for this setting is: *S-1-5-19, *S-1-5-20 (LOCAL SERVICE, NETWORK SERVICE).","*S-1-5-19, *S-1-5-20 (LOCAL SERVICE, NETWORK SERVICE)",Simple,"'replace process level token' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Require PIN For Pairing,This policy setting controls whether or not a PIN is required for pairing to a wireless display device. The recommended state for this setting is: Enabled: Pairing ceremony for new devices will always require a PIN' OR All pairings will require PIN.,Enabled: Pairing ceremony for new devices will always require a PIN' OR All pairings will require PIN,Simple,"'require pin for pairing' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Require Platform Security Features,This policy setting specifies whether Virtualization Based Security (VBS) is enabled. VBS uses the Windows Hypervisor to provide support for security services. The recommended state for this setting is: Turns on VBS with Secure Boot or Turns on VBS with Secure Boot and direct memory access (DMA). DMA requires hardware support.,Turns on VBS with Secure Boot or Turns on VBS with Secure Boot and direct memory access (DMA),Simple,"'require platform security features' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Require Security Device,"This policy controls whether a Trusted Platform Module (TPM) is required to provision Windows Hello for Business. • If you enable this policy setting, only devices with a usable TPM provision Windows Hello for Business. • If you disable or don't configure this policy setting, the TPM is still preferred, but all devices provision Windows Hello for Business using software if the TPM is non-functional or unavailable. The recommended state for this setting is: true.",true,Simple,"'require security device' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Require UEFI Memory Attributes Table,The recommended state for this setting is: Require UEFI Memory Attributes Table.,Require UEFI Memory Attributes Table,Simple,"'require uefi memory attributes table' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Require a password when a computer  wakes (on battery),Specifies whether or not the user is prompted for a password when the system resumes from sleep. The recommended state for this setting is: Enabled,Enabled,Simple,"'require a password when a computer  wakes (on battery)' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Require a password when a computer  wakes (plugged in),Specifies whether or not the user is prompted for a password when the system resumes from sleep. The recommended state for this setting is: Enabled.,Enabled,Simple,"'require a password when a computer  wakes (plugged in)' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Require domain users to elevate when  setting a network's location,This policy setting determines whether to require domain users to elevate when setting a network's location. The recommended state for this setting is: Enabled.,Enabled,Simple,Privacy-related restrictions are low-risk for SMBs. Users may notice loss of Cortana/search features. Acceptable trade-off; communicate change to users to reduce help desk calls.
CISv4 - WIN - L1 - Require secure RPC communication,This policy setting allows you to specify whether Remote Desktop Services requires secure Remote Procedure Call (RPC) communication with all clients or allows unsecured communication. You can use this policy setting to strengthen the security of RPC communication with clients by allowing only authenticated and encrypted requests. The recommended state for this setting is: Enabled.,Enabled,Complex,RPC hardening settings are generally safe but can break some older printer or file share workflows. Test on a pilot group before broad deployment.
CISv4 - WIN - L1 - Require use of specific security layer  for remote (RDP) connections,This policy setting specifies whether to require the use of a specific security layer to secure communications between clients and RD Session Host servers during Remote Desktop Protocol (RDP) connections. The recommended state for this setting is: Enabled: SSL.,Enabled: SSL,Simple,Clipboard redirection is commonly needed in RDS/remote work scenarios. Blocking may frustrate users who copy/paste between local and remote sessions. Evaluate whether dedicated VDI/RDS use justifies the risk.
CISv4 - WIN - L1 - Require user authentication for remote  connections by using Network Level Authentication,This policy setting allows you to specify whether to require user authentication for remote connections to the RD Session Host server by using Network Level Authentication. The recommended state for this setting is: Enabled.,Enabled,Simple,"'require user authentication for remote  connections by using network level authentication' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Restore Files And Directories,The recommended state for this setting is: *S-1-5-32-544 (Administrators).,*S-1-5-32-544 (Administrators),Simple,"'restore files and directories' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Restrict Unauthenticated RPC clients,"This policy setting controls how the RPC server runtime handles unauthenticated RPC clients connecting to RPC servers. A client will be considered an authenticated client if it uses a named pipe to communicate with the server or if it uses RPC Security. RPC Interfaces that have specifically requested to be accessible by unauthenticated clients may be exempt from this restriction, depending on the selected value for this policy setting. Note: This policy setting will not be applied until the system is rebooted. The recommended state for this setting is: Enabled: Authenticated.",Enabled: Authenticated,Complex,RPC hardening settings are generally safe but can break some older printer or file share workflows. Test on a pilot group before broad deployment.
CISv4 - WIN - L1 - Scheduled Install Day,This policy setting specifies when computers in your environment will receive security updates from Windows Update or WSUS. The recommended state for this setting is: Every day,Every day,Simple,"'scheduled install day' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 -  Service Enabled,"This policy setting determines whether Enhanced Phishing Protection is in audit mode. This allows notifications to be sent to users regarding unsafe password events. Additionally, Enhanced Phishing Protection captures unsafe password entry events and sends diagnostic data through Microsoft Defender. The recommended state for this setting is: Enabled.",Enabled,Simple,"'service enabled' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Set client connection encryption level,"This policy setting specifies whether to require the use of a specific encryption level to secure communications between client computers and RD Session Host servers during Remote Desktop Protocol (RDP) connections. This policy only applies when you are using native RDP encryption. However, native RDP encryption (as opposed to SSL encryption) is not recommended. This policy does not apply to SSL encryption. The recommended state for this setting is: Enabled: High Level.",Enabled: High Level,Simple,"'set client connection encryption level' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Set the default behavior for AutoRun,This policy setting sets the default behavior for Autorun commands. Autorun commands are generally stored in autorun.inf files. They often launch the installation program or other routines. The recommended state for this setting is: Enabled: Do not execute any autorun commands.,Enabled: Do not execute any autorun commands,Simple,"'set the default behavior for autorun' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Shut Down The System,"The recommended state for this setting is: *S-1-5-32-544, *S-1-5-32-545 (Administrators, Users)","*S-1-5-32-544, *S-1-5-32-545 (Administrators, Users)",Simple,"'shut down the system' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Sign-in and lock last interactive user  automatically after a restart,This policy setting controls whether a device will automatically sign-in the last interactive user after Windows Update restarts the system. The recommended state for this setting is: Disabled.,Disabled,Simple,"'sign-in and lock last interactive user  automatically after a restart' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - System Audit I Psec Driver,This subcategory reports on the activities of the Internet Protocol security (IPsec) driver. The recommended state for this setting is: Success and Failure.,Success and Failure,Moderate,"Full audit logging (Success and Failure) can generate high event volume on busy systems, impacting SIEM ingestion costs. For SMBs without a SIEM, Failure-only auditing is a pragmatic compromise."
CISv4 - WIN - L1 - System Audit Other System Events,This subcategory reports on other system events. The recommended state for this setting is: Success and Failure.,Success and Failure,Moderate,"Full audit logging (Success and Failure) can generate high event volume on busy systems, impacting SIEM ingestion costs. For SMBs without a SIEM, Failure-only auditing is a pragmatic compromise."
CISv4 - WIN - L1 - System Audit Security State Change,"This subcategory reports changes in security state of the system, such as when the security subsystem starts and stops. The recommended state for this setting is to include: Success",to include: Success,Moderate,"Full audit logging (Success and Failure) can generate high event volume on busy systems, impacting SIEM ingestion costs. For SMBs without a SIEM, Failure-only auditing is a pragmatic compromise."
CISv4 - WIN - L1 - System Audit System Integrity,This subcategory reports on violations of integrity of the security subsystem. The recommended state for this setting is: Success and Failure.,Success and Failure,Moderate,"Full audit logging (Success and Failure) can generate high event volume on busy systems, impacting SIEM ingestion costs. For SMBs without a SIEM, Failure-only auditing is a pragmatic compromise."
CISv4 - WIN - L1 - Take Ownership,,No One / Empty,Simple,"'take ownership' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Turn off Autoplay,"Autoplay starts to read from a drive as soon as you insert media in the drive, which causes the setup file for programs or audio media to start immediately. An attacker could use this feature to launch a program to damage the computer or data on the computer. Autoplay is disabled by default on some removable drive types, such as floppy disk and network drives, but not on CD-ROM drives. Note: You cannot use this policy setting to enable Autoplay on computer drives in which it is disabled by default, such as floppy disk and network drives. The recommended state for this setting is: Enabled: All drives",Enabled: All drives,Simple,"'turn off autoplay' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Turn off Data Execution Prevention for  Explorer,Disabling Data Execution Prevention can allow certain legacy plug-in applications to function without terminating Explorer. The recommended state for this setting is: Disabled.,Disabled,Simple,"'turn off data execution prevention for  explorer' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Turn off Internet download for Web  publishing and online ordering wizards,This policy setting controls whether Windows will download a list of providers for the Web publishing and online ordering wizards. The recommended state for this setting is: Enabled.,Enabled,Simple,"'turn off internet download for web  publishing and online ordering wizards' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Turn off app notifications on the lock  screen,This policy setting allows you to prevent app notifications from appearing on the lock screen. The recommended state for this setting is: Enabled,Enabled,Simple,"'turn off app notifications on the lock  screen' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Turn off background refresh of Group  Policy,"This policy setting prevents Group Policy from being updated while the computer is in use. This policy setting applies to Group Policy for computers, users and Domain Controllers. The recommended state for this setting is: Disabled",Disabled,Simple,"'turn off background refresh of group  policy' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Turn off downloading of print drivers over  HTTP,"This policy setting controls whether the computer can download print driver packages over HTTP. To set up HTTP printing, printer drivers that are not available in the standard operating system installation might need to be downloaded over HTTP. The recommended state for this setting is: Enabled",Enabled,Simple,"'turn off downloading of print drivers over  http' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Turn off heap termination on corruption,"Without heap termination on corruption, legacy plug-in applications may continue to function when a File Explorer session has become corrupt. Ensuring that heap termination on corruption is active will prevent this. The recommended state for this setting is: Disabled.",Disabled,Simple,"'turn off heap termination on corruption' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Turn off multicast name resolution,"Link-Local Multicast Name Resolution (LLMNR) is a secondary name resolution protocol. With LLMNR, queries are sent using multicast over a local network link on a single subnet from a client computer to another client computer on the same subnet that also has LLMNR enabled. LLMNR does not require a DNS server or DNS client configuration and provides name resolution in scenarios in which conventional DNS name resolution is not possible. The recommended state for this setting is: Enabled",Enabled,Simple,"'turn off multicast name resolution' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Turn off picture password sign-in,This policy setting allows you to control whether a domain user can sign in using a picture password. The recommended state for this setting is: Enabled.,Enabled,Simple,"'turn off picture password sign-in' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Turn off shell protocol protected mode,"This policy setting allows you to configure the amount of functionality that the shell protocol can have. When using the full functionality of this protocol, applications can open folders and launch files. The protected mode reduces the functionality of this protocol allowing applications to only open a limited set of folders. Applications are not able to open files with this protocol when it is in the protected mode. It is recommended to leave this protocol in the protected mode to increase the security of Windows. The recommended state for this setting is: Disabled",Disabled,Simple,"'turn off shell protocol protected mode' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Turn off the offer to update to the latest  version of Windows,Enables or disables the Microsoft Store offer to update to the latest version of Windows. The recommended state for this setting is: Enabled.,Enabled,Simple,"'turn off the offer to update to the latest  version of windows' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Turn off toast notifications on the lock screen  (User),This policy setting turns off toast notifications on the lock screen. The recommended state for this setting is Enabled.,Enabled,Simple,"'turn off toast notifications on the lock screen  (user)' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Turn on convenience PIN sign-in,This policy setting allows you to control whether a user can sign in using a convenience PIN. Note: The user's password will be cached in the system vault when using this feature. The recommended state for this setting is: Disabled,Disabled,Simple,"'turn on convenience pin sign-in' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
